record_id,category,status,severity,area,reported_date,closed_date,resolution_days
SR-10095,Traffic Light,In Progress,Low,Arcadia,2026-09-11,,
SR-10096,Stormwater Drain,Resolved,Medium,Menlo Park,2026-04-16,2026-04-17,1.2
SR-10097,Traffic Light,In Progress,Low,Mamelodi,2026-04-09,,
SR-10098,Stormwater Drain,Resolved,Medium,Hatfield,2026-07-14,2026-07-19,4.1
SR-10099,Street Light,Resolved,Low,Mamelodi,2026-03-31,2026-04-01,1.1
SR-10100,Street Light,Resolved,Medium,Pretoria CBD,2026-07-31,2026-08-01,1.0
SR-10101,Traffic Light,Resolved,Medium,Brooklyn,2026-07-28,2026-07-31,2.4
SR-10102,Traffic Light,Resolved,Medium,Arcadia,2026-06-14,2026-06-18,3.8
SR-10103,Pothole / Road Damage,In Progress,Medium,Soshanguve,2026-08-04,,
SR-10104,Street Light,Submitted,Low,Hatfield,2026-07-05,,
SR-10105,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-08-21,2026-08-23,2.2
SR-10106,Street Light,Resolved,High,Hatfield,2026-03-16,2026-03-19,2.6
SR-10107,Street Light,Resolved,Low,Soshanguve,2026-05-04,2026-05-05,0.7
SR-10108,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-03-28,2026-03-30,1.8
SR-10109,Pothole / Road Damage,Resolved,Medium,Mamelodi,2026-04-03,2026-04-06,2.7
SR-10110,Traffic Light,Resolved,Medium,Pretoria West,2026-05-07,2026-05-09,2.4
SR-10111,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-04-15,2026-04-20,4.3
SR-10112,Street Light,Resolved,Critical,Arcadia,2026-03-31,2026-04-02,1.8
SR-10113,Street Light,Resolved,High,Hatfield,2026-09-04,2026-09-07,3.4
SR-10114,Pothole / Road Damage,Resolved,High,Arcadia,2026-07-18,2026-07-19,0.9
SR-10115,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-06-14,2026-06-16,2.1
SR-10116,Traffic Light,In Progress,Critical,Hatfield,2026-07-31,,
SR-10117,Street Light,Resolved,Medium,Arcadia,2026-08-06,2026-08-10,4.3
SR-10118,Pothole / Road Damage,Resolved,Critical,Pretoria CBD,2026-04-29,2026-04-30,1.4
SR-10119,Stormwater Drain,Submitted,Medium,Mamelodi,2026-07-12,,
SR-10120,Street Light,Resolved,Medium,Waterkloof,2026-06-08,2026-06-12,4.3
SR-10121,Pothole / Road Damage,Resolved,Low,Menlo Park,2026-08-10,2026-08-13,2.6
SR-10122,Pothole / Road Damage,Resolved,Low,Waterkloof,2026-09-03,2026-09-05,2.2
SR-10123,Pothole / Road Damage,Verified,Medium,Pretoria CBD,2026-06-21,,
SR-10124,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-04-29,2026-05-01,1.7
SR-10125,Traffic Light,Resolved,Medium,Pretoria West,2026-06-21,2026-06-23,2.7
SR-10126,Street Light,Resolved,Low,Pretoria CBD,2026-07-27,2026-07-29,1.3
SR-10127,Street Light,In Progress,High,Sunnyside,2026-08-10,,
SR-10128,Street Light,Resolved,Medium,Menlo Park,2026-05-23,2026-05-25,2.6
SR-10129,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-04-16,2026-04-19,2.3
SR-10130,Pothole / Road Damage,Assigned,Medium,Pretoria CBD,2026-03-05,,
SR-10131,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-05-12,2026-05-16,3.4
SR-10132,Street Light,Resolved,Low,Pretoria CBD,2026-08-27,2026-08-28,1.0
SR-10133,Pothole / Road Damage,Resolved,Medium,Waterkloof,2026-06-05,2026-06-08,3.7
SR-10134,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-05-31,2026-06-03,2.2
SR-10135,Pothole / Road Damage,In Progress,Medium,Hatfield,2026-08-28,,
SR-10136,Street Light,Assigned,Low,Sunnyside,2026-04-06,,
SR-10137,Pothole / Road Damage,Assigned,Medium,Waterkloof,2026-04-26,,
SR-10138,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-09-02,2026-09-03,1.1
SR-10139,Street Light,Assigned,Medium,Menlo Park,2026-08-09,,
SR-10140,Street Light,Submitted,Medium,Brooklyn,2026-03-19,,
SR-10141,Pothole / Road Damage,Resolved,High,Hatfield,2026-07-30,2026-08-01,2.3
SR-10142,Stormwater Drain,Assigned,Medium,Pretoria CBD,2026-07-13,,
SR-10143,Pothole / Road Damage,Assigned,Medium,Mamelodi,2026-08-03,,
SR-10144,Pothole / Road Damage,Resolved,High,Waterkloof,2026-06-25,2026-06-29,3.9
SR-10145,Pothole / Road Damage,Resolved,High,Pretoria CBD,2026-08-26,2026-08-28,2.1
SR-10146,Traffic Light,Resolved,High,Soshanguve,2026-05-19,2026-05-22,2.9
SR-10147,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-05-10,2026-05-13,3.2
SR-10148,Street Light,Resolved,Low,Pretoria CBD,2026-06-11,2026-06-14,2.4
SR-10149,Traffic Light,Verified,Medium,Menlo Park,2026-09-12,,
SR-10150,Street Light,Resolved,Medium,Arcadia,2026-08-28,2026-08-31,2.9
SR-10151,Street Light,In Progress,Medium,Mamelodi,2026-07-04,,
SR-10152,Road Signage,Resolved,Low,Pretoria CBD,2026-08-15,2026-08-17,2.1
SR-10153,Pothole / Road Damage,Resolved,Medium,Mamelodi,2026-03-06,2026-03-11,4.4
SR-10154,Pothole / Road Damage,Submitted,Medium,Centurion,2026-09-06,,
SR-10155,Stormwater Drain,In Progress,Low,Pretoria CBD,2026-03-15,,
SR-10156,Road Signage,Verified,Medium,Menlo Park,2026-06-08,,
SR-10157,Street Light,In Progress,Medium,Menlo Park,2026-07-17,,
SR-10158,Traffic Light,In Progress,High,Pretoria CBD,2026-03-26,,
SR-10159,Traffic Light,Resolved,Low,Brooklyn,2026-05-12,2026-05-14,1.9
SR-10160,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-05-18,2026-05-20,2.1
SR-10161,Street Light,Submitted,Medium,Hatfield,2026-06-11,,
SR-10162,Pothole / Road Damage,Resolved,Low,Hatfield,2026-07-20,2026-07-24,3.5
SR-10163,Pothole / Road Damage,Submitted,Medium,Pretoria CBD,2026-05-08,,
SR-10164,Street Light,Assigned,High,Mamelodi,2026-09-16,,
SR-10165,Pothole / Road Damage,In Progress,Medium,Brooklyn,2026-03-21,,
SR-10166,Street Light,Resolved,Low,Waterkloof,2026-07-18,2026-07-22,4.4
SR-10167,Pothole / Road Damage,Resolved,Low,Mamelodi,2026-06-03,2026-06-04,1.1
SR-10168,Traffic Light,Resolved,Medium,Pretoria CBD,2026-03-04,2026-03-07,3.6
SR-10169,Pothole / Road Damage,Assigned,Critical,Sunnyside,2026-03-26,,
SR-10170,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-03-25,2026-03-26,1.5
SR-10171,Stormwater Drain,Resolved,Medium,Centurion,2026-09-12,2026-09-13,1.6
SR-10172,Pothole / Road Damage,Resolved,Low,Menlo Park,2026-04-19,2026-04-21,2.3
SR-10173,Traffic Light,Resolved,Low,Pretoria CBD,2026-06-18,2026-06-21,3.1
SR-10174,Street Light,In Progress,Low,Mamelodi,2026-06-04,,
SR-10175,Traffic Light,Resolved,Medium,Hatfield,2026-09-05,2026-09-08,3.4
SR-10176,Pothole / Road Damage,Assigned,Medium,Pretoria CBD,2026-07-11,,
SR-10177,Street Light,Resolved,Medium,Sunnyside,2026-05-05,2026-05-07,2.4
SR-10178,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-07-24,2026-07-26,1.9
SR-10179,Street Light,Resolved,Critical,Menlo Park,2026-09-16,2026-09-19,2.9
SR-10180,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-06-10,2026-06-11,1.8
SR-10181,Road Signage,Verified,Low,Brooklyn,2026-04-15,,
SR-10182,Traffic Light,Submitted,Low,Brooklyn,2026-07-22,,
SR-10183,Street Light,Resolved,High,Centurion,2026-05-18,2026-05-22,3.8
SR-10184,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-09-13,2026-09-17,3.6
SR-10185,Traffic Light,Assigned,Medium,Pretoria CBD,2026-03-11,,
SR-10186,Street Light,Submitted,High,Hatfield,2026-08-20,,
SR-10187,Stormwater Drain,Resolved,Low,Hatfield,2026-08-12,2026-08-15,3.5
SR-10188,Pothole / Road Damage,Resolved,Medium,Pretoria West,2026-04-11,2026-04-14,3.3
SR-10189,Traffic Light,Resolved,Low,Sunnyside,2026-07-13,2026-07-15,1.5
SR-10190,Pothole / Road Damage,In Progress,Medium,Pretoria West,2026-05-14,,
SR-10191,Street Light,In Progress,Low,Pretoria CBD,2026-06-19,,
SR-10192,Traffic Light,In Progress,Low,Pretoria CBD,2026-05-28,,
SR-10193,Street Light,In Progress,Medium,Pretoria CBD,2026-06-12,,
SR-10194,Traffic Light,Resolved,Low,Soshanguve,2026-07-14,2026-07-17,3.0
SR-10195,Stormwater Drain,In Progress,Medium,Sunnyside,2026-07-03,,
SR-10196,Street Light,Assigned,Low,Soshanguve,2026-09-11,,
SR-10197,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-07-05,2026-07-07,1.5
SR-10198,Street Light,In Progress,Low,Pretoria West,2026-07-29,,
SR-10199,Traffic Light,Verified,Low,Soshanguve,2026-07-21,,
SR-10200,Traffic Light,Assigned,Low,Brooklyn,2026-09-11,,
SR-10201,Pothole / Road Damage,Resolved,Medium,Centurion,2026-05-24,2026-05-28,4.4
SR-10202,Pothole / Road Damage,Assigned,Medium,Hatfield,2026-07-18,,
SR-10203,Road Signage,Resolved,Medium,Waterkloof,2026-06-02,2026-06-04,2.3
SR-10204,Traffic Light,Resolved,Medium,Pretoria West,2026-05-08,2026-05-10,2.0
SR-10205,Road Signage,Resolved,Medium,Hatfield,2026-05-04,2026-05-05,1.4
SR-10206,Pothole / Road Damage,Resolved,High,Arcadia,2026-08-11,2026-08-15,3.7
SR-10207,Pothole / Road Damage,Resolved,Low,Hatfield,2026-04-18,2026-04-19,0.6
SR-10208,Stormwater Drain,Assigned,Low,Sunnyside,2026-03-23,,
SR-10209,Pothole / Road Damage,Resolved,Critical,Menlo Park,2026-04-11,2026-04-16,4.4
SR-10210,Traffic Light,Resolved,High,Centurion,2026-09-16,2026-09-20,4.5
SR-10211,Pothole / Road Damage,Resolved,Medium,Mamelodi,2026-03-05,2026-03-06,1.3
SR-10212,Street Light,Resolved,Medium,Pretoria CBD,2026-07-27,2026-07-30,2.8
SR-10213,Traffic Light,Resolved,High,Hatfield,2026-04-25,2026-04-27,2.5
SR-10214,Pothole / Road Damage,Resolved,Low,Pretoria West,2026-03-10,2026-03-10,0.7
SR-10215,Street Light,Resolved,Medium,Centurion,2026-05-04,2026-05-06,2.3
SR-10216,Pothole / Road Damage,Resolved,Low,Pretoria West,2026-03-06,2026-03-07,0.9
SR-10217,Street Light,Submitted,High,Arcadia,2026-06-28,,
SR-10218,Pothole / Road Damage,Resolved,High,Pretoria CBD,2026-08-22,2026-08-25,3.4
SR-10219,Pothole / Road Damage,Assigned,Critical,Pretoria CBD,2026-04-19,,
SR-10220,Street Light,Assigned,Medium,Pretoria West,2026-09-03,,
SR-10221,Street Light,Resolved,Medium,Menlo Park,2026-05-28,2026-05-30,1.9
SR-10222,Pothole / Road Damage,Resolved,Low,Sunnyside,2026-03-06,2026-03-09,2.6
SR-10223,Stormwater Drain,Verified,Medium,Hatfield,2026-04-14,,
SR-10224,Traffic Light,Resolved,Medium,Sunnyside,2026-09-10,2026-09-13,3.3
SR-10225,Stormwater Drain,Resolved,Low,Brooklyn,2026-06-20,2026-06-21,1.1
SR-10226,Traffic Light,Assigned,Low,Pretoria CBD,2026-07-30,,
SR-10227,Street Light,Resolved,Low,Pretoria CBD,2026-07-08,2026-07-09,0.7
SR-10228,Road Signage,Resolved,Medium,Menlo Park,2026-08-30,2026-09-03,3.8
SR-10229,Pothole / Road Damage,In Progress,High,Mamelodi,2026-03-03,,
SR-10230,Pothole / Road Damage,Resolved,High,Hatfield,2026-03-01,2026-03-05,3.5
SR-10231,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-04-17,2026-04-19,2.1
SR-10232,Street Light,Resolved,Medium,Brooklyn,2026-06-14,2026-06-15,1.4
SR-10233,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-06-28,2026-06-29,0.9
SR-10234,Street Light,Resolved,Medium,Arcadia,2026-08-29,2026-08-31,2.3
SR-10235,Pothole / Road Damage,Verified,High,Menlo Park,2026-09-15,,
SR-10236,Pothole / Road Damage,In Progress,Critical,Arcadia,2026-03-13,,
SR-10237,Street Light,Resolved,Medium,Sunnyside,2026-03-15,2026-03-16,1.6
SR-10238,Stormwater Drain,Resolved,Medium,Hatfield,2026-09-13,2026-09-16,3.0
SR-10239,Pothole / Road Damage,In Progress,Low,Pretoria CBD,2026-07-08,,
SR-10240,Street Light,In Progress,Medium,Hatfield,2026-05-19,,
SR-10241,Traffic Light,Resolved,Low,Arcadia,2026-07-22,2026-07-26,4.2
SR-10242,Road Signage,Resolved,Medium,Arcadia,2026-07-11,2026-07-12,0.8
SR-10243,Pothole / Road Damage,Assigned,Medium,Hatfield,2026-03-27,,
SR-10244,Pothole / Road Damage,In Progress,Medium,Menlo Park,2026-07-27,,
SR-10245,Street Light,Assigned,High,Hatfield,2026-05-02,,
SR-10246,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-09-05,2026-09-07,2.0
SR-10247,Pothole / Road Damage,In Progress,Medium,Sunnyside,2026-04-20,,
SR-10248,Stormwater Drain,Resolved,Medium,Arcadia,2026-03-13,2026-03-14,1.0
SR-10249,Pothole / Road Damage,Resolved,Medium,Centurion,2026-07-14,2026-07-14,0.8
SR-10250,Street Light,Resolved,Medium,Pretoria CBD,2026-06-08,2026-06-09,1.0
SR-10251,Pothole / Road Damage,Assigned,High,Pretoria CBD,2026-06-30,,
SR-10252,Pothole / Road Damage,Resolved,High,Arcadia,2026-09-13,2026-09-18,4.3
SR-10253,Road Signage,In Progress,High,Pretoria CBD,2026-08-13,,
SR-10254,Pothole / Road Damage,Resolved,Low,Mamelodi,2026-05-26,2026-05-28,1.9
SR-10255,Pothole / Road Damage,In Progress,Low,Pretoria CBD,2026-09-10,,
SR-10256,Pothole / Road Damage,In Progress,Medium,Soshanguve,2026-08-20,,
SR-10257,Traffic Light,Resolved,Low,Hatfield,2026-07-19,2026-07-20,1.0
SR-10258,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-04-08,2026-04-11,3.8
SR-10259,Pothole / Road Damage,Assigned,Low,Arcadia,2026-05-12,,
SR-10260,Traffic Light,Assigned,High,Brooklyn,2026-06-28,,
SR-10261,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-04-07,2026-04-08,0.9
SR-10262,Stormwater Drain,In Progress,Medium,Menlo Park,2026-05-05,,
SR-10263,Street Light,Resolved,Low,Hatfield,2026-09-11,2026-09-14,2.6
SR-10264,Street Light,Assigned,High,Arcadia,2026-04-19,,
SR-10265,Traffic Light,Submitted,Medium,Sunnyside,2026-05-02,,
SR-10266,Pothole / Road Damage,Resolved,Medium,Soshanguve,2026-03-01,2026-03-03,1.7
SR-10267,Stormwater Drain,Resolved,High,Sunnyside,2026-08-11,2026-08-14,2.6
SR-10268,Pothole / Road Damage,Submitted,Low,Hatfield,2026-09-05,,
SR-10269,Traffic Light,Resolved,Medium,Menlo Park,2026-08-16,2026-08-18,1.4
SR-10270,Street Light,Assigned,Medium,Sunnyside,2026-05-04,,
SR-10271,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-03-08,2026-03-12,3.8
SR-10272,Street Light,Assigned,Medium,Arcadia,2026-03-18,,
SR-10273,Traffic Light,Submitted,Medium,Pretoria CBD,2026-05-09,,
SR-10274,Street Light,Resolved,Low,Pretoria CBD,2026-07-30,2026-07-31,0.9
SR-10275,Pothole / Road Damage,Resolved,Medium,Brooklyn,2026-07-30,2026-08-03,4.0
SR-10276,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-06-13,2026-06-17,3.8
SR-10277,Traffic Light,Submitted,Low,Pretoria CBD,2026-08-02,,
SR-10278,Road Signage,Resolved,Medium,Soshanguve,2026-06-11,2026-06-13,1.2
SR-10279,Stormwater Drain,Resolved,Low,Pretoria CBD,2026-05-30,2026-06-02,3.6
SR-10280,Street Light,Submitted,Medium,Mamelodi,2026-08-21,,
SR-10281,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-06-24,2026-06-28,4.3
SR-10282,Pothole / Road Damage,Resolved,Medium,Pretoria West,2026-04-25,2026-04-30,4.5
SR-10283,Traffic Light,Verified,Low,Brooklyn,2026-06-30,,
SR-10284,Street Light,Submitted,Medium,Pretoria CBD,2026-05-23,,
SR-10285,Street Light,Resolved,High,Mamelodi,2026-03-07,2026-03-08,1.6
SR-10286,Street Light,Resolved,Medium,Hatfield,2026-08-12,2026-08-14,1.8
SR-10287,Stormwater Drain,In Progress,Medium,Centurion,2026-08-02,,
SR-10288,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-08-27,2026-08-31,4.0
SR-10289,Road Signage,Resolved,High,Menlo Park,2026-03-07,2026-03-10,2.8
SR-10290,Traffic Light,Resolved,High,Waterkloof,2026-09-12,2026-09-16,4.0
SR-10291,Traffic Light,Resolved,Low,Menlo Park,2026-08-29,2026-09-02,4.2
SR-10292,Traffic Light,Resolved,Low,Pretoria CBD,2026-04-23,2026-04-25,2.1
SR-10293,Street Light,Resolved,High,Hatfield,2026-03-06,2026-03-07,0.6
SR-10294,Pothole / Road Damage,Resolved,High,Pretoria CBD,2026-03-31,2026-04-04,3.9
SR-10295,Stormwater Drain,Assigned,Medium,Soshanguve,2026-05-01,,
SR-10296,Street Light,Resolved,Medium,Waterkloof,2026-08-14,2026-08-15,1.2
SR-10297,Pothole / Road Damage,Verified,Low,Waterkloof,2026-08-21,,
SR-10298,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-03-19,2026-03-20,1.4
SR-10299,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-03-05,2026-03-09,3.1
SR-10300,Street Light,Submitted,Low,Pretoria CBD,2026-07-18,,
SR-10301,Street Light,Resolved,Low,Pretoria CBD,2026-08-05,2026-08-09,4.4
SR-10302,Street Light,Resolved,Medium,Brooklyn,2026-04-23,2026-04-27,4.0
SR-10303,Pothole / Road Damage,Resolved,Medium,Brooklyn,2026-03-07,2026-03-10,3.1
SR-10304,Street Light,Assigned,Medium,Sunnyside,2026-03-31,,
SR-10305,Stormwater Drain,Assigned,Medium,Menlo Park,2026-08-17,,
SR-10306,Pothole / Road Damage,In Progress,Critical,Waterkloof,2026-06-22,,
SR-10307,Traffic Light,Resolved,Low,Menlo Park,2026-04-23,2026-04-26,3.1
SR-10308,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-06-20,2026-06-21,0.6
SR-10309,Pothole / Road Damage,In Progress,Medium,Centurion,2026-03-30,,
SR-10310,Stormwater Drain,Resolved,Medium,Pretoria CBD,2026-04-11,2026-04-12,0.7
SR-10311,Pothole / Road Damage,Resolved,Medium,Mamelodi,2026-07-13,2026-07-16,3.0
SR-10312,Street Light,Resolved,Low,Arcadia,2026-04-28,2026-05-02,3.9
SR-10313,Traffic Light,Assigned,Medium,Brooklyn,2026-05-22,,
SR-10314,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-05-01,2026-05-02,1.4
